Algorithm,Video,IoU,status
MIL,DVD.mp4,0.9488759793694919,True
MIL,race-trimmed.mp4,0.16025106401694542,True
MIL,workout.mp4,0.5506204127445804,True
MIL,snowboard.mp4,0.15996295455868467,True
MIL,plane2.MP4,0.5274196991571531,True
KCF,DVD.mp4,0.31447951894206666,True
KCF,race-trimmed.mp4,0.17058465279186363,True
KCF,workout.mp4,0.6040080586884223,True
KCF,snowboard.mp4,0.02675534183746855,True
KCF,plane2.MP4,0.5339687029675143,True
CSRT,DVD.mp4,0.9425081877301755,True
CSRT,race-trimmed.mp4,0.4889229232503419,True
CSRT,workout.mp4,0.48035875227045227,True
CSRT,snowboard.mp4,0.39905563801613336,True
CSRT,plane2.MP4,0.4261489550631486,True
